[INFO] Scanning for projects...
[INFO] 
[INFO] -------------------------< minicpbp:minicpbp >--------------------------
[INFO] Building minicpbp 1.0
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.1.0:java (default-cli) @ minicpbp ---
nb eq ; ineq 4 ; 0
maxMarginal
c Warning: method updateBelief not implemented yet for LinEqSystemModP constraint. Using uniform belief instead.
[INFO] Now solving
No restarts
O(T)C(CCCTC(C#CTC)CC(C1CCCCC1))C________ weight of 2480 logP of 0
S(TSC(C(CTC)C#CTC)CC(C1CTC=C1))C________ weight of 2522 logP of 0
C(TSC(C(CTC)C=CTC)CC(C1C(C)C1))C________ weight of 2381 logP of 0
TOTOC(CCCTC#C(CTCCCCCC1C=CTC1))C________ weight of 2620 logP of 0
C(OTC(CSCTC=CTCTC#CCOC1C=CTC1))C________ weight of 2641 logP of 0
C(OOC(C)CTCCC(CTC(CC)C1C=COC1))C________ weight of 2680 logP of 0
C(TTC(COCTC(CCCTCCCC)C1CTC=C1))C________ weight of 2500 logP of 0
FTC=C(C)CTC(C#CTC(CCTC1COC=C1))C________ weight of 2340 logP of 0
ClOCCC(C)CTCTC#CTC(CC#C(C1CTC1))C________ weight of 2645 logP of 0
XN=NC(C)CTC=C(CTCTCCCC(C1CTC1))C________ weight of 2340 logP of 0
RN(TC(CCCTC#COCTC)CCCC(C1CCC1))C________ weight of 2630 logP of 0
T(N=C(C)CTCCC(CTCTCC)C(C1COC1))C________ weight of 2370 logP of 0
ClOTOC(C(CTCTC=CTC)CC#C(C1C=C1))C________ weight of 2525 logP of 0
C(TOC(CCCTCCC=CTC1CCTC(C)COC1))C________ weight of 2660 logP of 0
TCOTC(C(CTCTCCCTC#CC1C(C)C=C1))C________ weight of 2320 logP of 0
T=C=C(C(CTCTC#CTCOCC1C(C#C)C1))C________ weight of 2120 logP of 0
O(COC(C#CTCTC#CTC1CC=C(CCC)C1))C________ weight of 2440 logP of 0
CTN(C(C(CTC)CSCTC=CCTCOC1CTC1))C________ weight of 2691 logP of 0
COCSC(C(CTC=C(CTC=CC)CTC1CTC1))C________ weight of 2661 logP of 0
TC(OC(C(CTC)C=CTCCCC(C)C1CCC1))C________ weight of 2500 logP of 0
T=NOC(C(CTCTC=CTC#CCCCTC1COC1))C________ weight of 2470 logP of 0
CTCTC(CCCTC=C=CTC(CCTCOC1COC1))C________ weight of 2640 logP of 0
ROOCC(C(CTC)C(CTC1CC(C)C=COC1))C________ weight of 2540 logP of 0
C(C(C(C)CTCOC=CTCTCC1C=CCCOC1))C________ weight of 2640 logP of 0
CN(OC(C)CTC=COCTC(CCTCTC1C=C1))C________ weight of 2510 logP of 0
T(F)C(C=CTC=CCCTC(CCOCCC1C=C1))C________ weight of 2500 logP of 0
CC(=C(C=CTC=C(CTC)CCTCOC1C=C1))C________ weight of 2300 logP of 0
C(T(C(C#CTC=COCTC#CCSC)C1C=C1))C________ weight of 2441 logP of 0
FTC(C(C1CTC(C=CTCTCCCC)CTC=C1))C________ weight of 2360 logP of 0
XCTOC(C)CTC(C=CTC(CC1C=CCC=C1))C________ weight of 2320 logP of 0
TC(CC(C#CTC#CCCTC1CC(CSCTC)C1))C________ weight of 2601 logP of 0
O(COC(C1CTCOC(CTC(CC=CCC)C)C1))C________ weight of 2680 logP of 0
TOOOC(C(CTC=CTCTC1CCOCCC(C)C1))C________ weight of 2700 logP of 0
TCC(C(CTCTCTC=CTC1CCOCOC(C)C1))C________ weight of 2520 logP of 0
RC(OC(C=CTC(CCCTCOCC)CCC(C=C)))C________ weight of 2660 logP of 0
