slout_40_domWdegRandom_c1b2_0.txt:	#fail: 2045
slout_40_domWdegRandom_c1b2_1.txt:	#fail: 5
slout_40_domWdegRandom_c1b2_2.txt:	#fail: 1
slout_40_domWdegRandom_c1b2_3.txt:	#fail: 3
slout_40_domWdegRandom_c1b2_4.txt:	#fail: 6
slout_40_domWdegRandom_c1b2_5.txt:	#fail: 3
slout_40_domWdegRandom_c1b2_6.txt:	#fail: 2
slout_40_domWdegRandom_c1b2_7.txt:	#fail: 9
slout_40_domWdegRandom_c1b2_8.txt:	#fail: 4388
slout_40_domWdegRandom_c1b2_9.txt:	#fail: 5840

slout_40_domWdegRandom_c1b3_0.txt:	#fail: 22
slout_40_domWdegRandom_c1b3_1.txt:	#fail: 2
slout_40_domWdegRandom_c1b3_10.txt:	#fail: 25
slout_40_domWdegRandom_c1b3_2.txt:	#fail: 1
slout_40_domWdegRandom_c1b3_3.txt:	#fail: 80005
slout_40_domWdegRandom_c1b3_5.txt:	#fail: 66
slout_40_domWdegRandom_c1b3_6.txt:	#fail: 2
slout_40_domWdegRandom_c1b3_7.txt:	#fail: 3
slout_40_domWdegRandom_c1b3_8.txt:	#fail: 69797
slout_40_domWdegRandom_c1b3_9.txt:	#fail: 2

slout_40_domWdegRandom_c1b4_0.txt:	#fail: 20
slout_40_domWdegRandom_c1b4_1.txt:	#fail: 22263
slout_40_domWdegRandom_c1b4_10.txt:	#fail: 31
slout_40_domWdegRandom_c1b4_2.txt:	#fail: 1175
slout_40_domWdegRandom_c1b4_3.txt:	#fail: 25713
slout_40_domWdegRandom_c1b4_4.txt:	#fail: 16
slout_40_domWdegRandom_c1b4_5.txt:	#fail: 1
slout_40_domWdegRandom_c1b4_6.txt:	#fail: 17
slout_40_domWdegRandom_c1b4_7.txt:	#fail: 4
slout_40_domWdegRandom_c1b4_8.txt:	#fail: 4
slout_40_domWdegRandom_c1b4_9.txt:	#fail: 10

slout_40_domWdegRandom_c2b2_1.txt:	#fail: 4501
slout_40_domWdegRandom_c2b2_10.txt:	#fail: 9548
slout_40_domWdegRandom_c2b2_2.txt:	#fail: 1360
slout_40_domWdegRandom_c2b2_3.txt:	#fail: 292
slout_40_domWdegRandom_c2b2_5.txt:	#fail: 4
slout_40_domWdegRandom_c2b2_7.txt:	#fail: 1
slout_40_domWdegRandom_c2b2_8.txt:	#fail: 8230
slout_40_domWdegRandom_c2b2_9.txt:	#fail: 0

slout_40_domWdegRandom_c2b3_0.txt:	#fail: 1
slout_40_domWdegRandom_c2b3_1.txt:	#fail: 2
slout_40_domWdegRandom_c2b3_10.txt:	#fail: 3
slout_40_domWdegRandom_c2b3_2.txt:	#fail: 126
slout_40_domWdegRandom_c2b3_3.txt:	#fail: 9018
slout_40_domWdegRandom_c2b3_4.txt:	#fail: 918
slout_40_domWdegRandom_c2b3_5.txt:	#fail: 216
slout_40_domWdegRandom_c2b3_6.txt:	#fail: 410
slout_40_domWdegRandom_c2b3_7.txt:	#fail: 280
slout_40_domWdegRandom_c2b3_9.txt:	#fail: 16

slout_40_domWdegRandom_c2b4_0.txt:	#fail: 199626
slout_40_domWdegRandom_c2b4_10.txt:	#fail: 1389
slout_40_domWdegRandom_c2b4_6.txt:	#fail: 601
slout_40_domWdegRandom_c2b4_7.txt:	#fail: 536
slout_40_domWdegRandom_c2b4_8.txt:	#fail: 7    
slout_40_domWdegRandom_c2b4_9.txt:	#fail: 30

slout_40_domWdegRandom_c3b2_1.txt:	#fail: 13
slout_40_domWdegRandom_c3b2_3.txt:	#fail: 8060
slout_40_domWdegRandom_c3b2_4.txt:	#fail: 70092

slout_40_domWdegRandom_c3b3_1.txt:	#fail: 418
slout_40_domWdegRandom_c3b3_5.txt:	#fail: 56

slout_40_domWdegRandom_c3b4_2.txt:	#fail: 3414

slout_40_maxMarginalStrength_c1b2.txt:	#fail: 0
slout_40_maxMarginalStrength_c1b3.txt:	#fail: 0
slout_40_maxMarginalStrength_c1b4.txt:	#fail: 1
slout_40_maxMarginalStrength_c2b2.txt:	#fail: 0
slout_40_maxMarginalStrength_c2b3.txt:	#fail: 0
slout_40_maxMarginalStrength_c2b4.txt:	#fail: 0
slout_40_maxMarginalStrength_c3b2.txt:	#fail: 0

slout_40_maxMarginal_c1b2.txt:	#fail: 0
slout_40_maxMarginal_c1b3.txt:	#fail: 8
slout_40_maxMarginal_c1b4.txt:	#fail: 0
slout_40_maxMarginal_c2b2.txt:	#fail: 38565
slout_40_maxMarginal_c2b4.txt:	#fail: 0
