slout_30_maxMarginalStrengthLDS_0.txt:	execution time (ms): 3817
slout_30_maxMarginalStrengthLDS_1.txt:	execution time (ms): 5123
slout_30_maxMarginalStrengthLDS_2.txt:	execution time (ms): 4404
slout_30_maxMarginalStrengthLDS_3.txt:	execution time (ms): 10354
slout_30_maxMarginalStrengthLDS_4.txt:	execution time (ms): 5462
slout_30_maxMarginalStrengthLDS_5.txt:	execution time (ms): 5768
slout_30_maxMarginalStrengthLDS_7.txt:	execution time (ms): 612525
slout_30_maxMarginalStrengthLDS_8.txt:	execution time (ms): 72937
slout_40_maxMarginalStrengthLDS_0.txt:	execution time (ms): 13644
slout_40_maxMarginalStrengthLDS_1.txt:	execution time (ms): 9888
slout_40_maxMarginalStrengthLDS_2.txt:	execution time (ms): 9207
slout_40_maxMarginalStrengthLDS_3.txt:	execution time (ms): 136646
slout_40_maxMarginalStrengthLDS_4.txt:	execution time (ms): 9206
slout_40_maxMarginalStrengthLDS_5.txt:	execution time (ms): 13787
slout_40_maxMarginalStrengthLDS_7.txt:	execution time (ms): 92962
slout_40_maxMarginalStrengthLDS_8.txt:	execution time (ms): 10237
