params,molecule,choice,fails,time,weight,logp
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 1 3 true,Br[C@H]SSc1n[nH]c(F)c1[TH+]=C(Br)TTOC(TT)F,4627,2237,722350,3800,-318
40 maxMarginalStrength true false 2 1 1800 3750 4250 -400 -300 1 3 true,C1CC(C(CC(CCTCOCCTCOCCTCCTCOCOC)CTCl))CC1,56,10,76205,4045,-329
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 1 4 true,IS[TH+][N+]SCN(X)[N+]1(SC(C(Br))C1)T[TH3+],620,278,138776,4041,-334
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 -200 -100 3 4 true,FOC1CC(C2TC(CCTC(OCCTC))C3(TCOC3)TC2)OC1,86,8,100917,3000,-140
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 1 4 true,N1[TH+]=C(TTN=N[C@](=C(C#C)(F))Br)CSSTO1_,2065,972,432587,2951,-308
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 1 2 true,BrTN=NTN=[N+](C1CT1)[C@](C)=C=NC[C@@H]OSI,339,144,124314,4169,100
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 2 3 true,Tc1onc(T(T(T)))c1[C@@H][C@@H]Oc2cc[nH]n2,3198,1534,853182,1760,-106
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 2 2 true,[N+]TTc1c[nH]nc1Oc2cc(Cl)c(CF)n2ST[C@H]TF,27,1,43666,2916,100
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 2 true,Ic1ocnc1TN=[TH+]SC(C=C2(Cl))=C2[N+]SS[N+],75,24,38568,4197,-111
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 3 4 true,C(X)S[C@@]TN=NN(SBr)c1oc(CN2(C3CS3))c2c1C,1057,479,395066,3792,191
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 3 4 true,[TH+]Cc1n(X)nc(Cl)c1CS[N+](CN2(N3TC3))N2Cl,30,3,21325,2801,-147
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 3 3 true,CN=[N+](R)c1c(O[TH+]2(c3cocc3I))c2[nH]c1,144,62,71847,3139,112
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 3 2 true,IN1SSS[N+]2(TC3([N+]=[C@H]3)[C@@H]TO2)T1,1265,586,621020,3192,-110
40 maxMarginalStrength true false 2 1 1800 1750 2250 -200 -100 3 4 true,CTCC(C1TC(C2=CTTC2)C(C3C=C3(OTC))=C1)C__,43,3,153852,2140,-100
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 3 4 true,[N+]1(TN1)=NN=Cc2sc3c(C(STBr)T3)c2C(Cl)=NBr,30,1,48587,4145,103
40 maxMarginal true false 2 1 1800 1750 2250 100 200 1 2 true,T(C(C=C=C=C=C=C=C=CCCCC=C)C)TC1TTTC1____,39,0,96544,2200,103
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 1 4 true,N(=T)[TH+]=CN([TH3+])TOC1(S[C@@H]C1)N(Cl)R,28,0,46081,1796,-196
40 maxMarginalStrengthLDS true false 2 1 1800 0 5000 -400 500 1 4 true,C1CC(SC(TCTC(TC(CCCCCCCCCCCCCCTC)))C)TC1,191,16,202927,3661,391
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 3 3 true,XSCCOc1[nH]c2c(CC2(SC))c1N(ST3)N3[N+]#CF,251,101,144811,3163,137
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 1 2 true,Rc1n([TH+](Cl))ccc1S[TH+]=NT[C@][N+]=NC#N,323,137,110167,2136,-341
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 1 3 true,RSS/N=C(N1[C@]SN([C@]SI)C1(=[TH+]C#N))/C,4958,2396,726306,3893,-312
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 1 3 true,Rc1occ(N(=T))c1[TH+]=C[TH+]C(=CCCCCR)C#N,2788,1329,1018143,2000,102
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 1 2 true,S=C[C@@H]N=[TH+]c1ocnc1OC(Br)(Br)S[C@]=NTR,282,116,83049,3860,177
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 1 4 true,Cl[N+](R)[N+]1(C=C[N+]1(F)(TCTCOBr))CCOC#N,1042,477,237573,3164,-323
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 1 2 true,[C@]=[C@@H][N+][TH+]SSTN(SC)Sc1cc(Br)cn1Br,48,12,41211,4222,149
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 2 true,RST[N+](OC1(=CCl))C1Cc2nn[nH]c2N=CT[C@@]I,794,359,247541,3835,-118
40 maxMarginal true false 2 1 1800 0 5000 -400 500 1 2 true,C(CCCOCC(CCCCCOCTCSCCC)CCCC)TCTCC1TCCTC1,41,0,101421,4261,335
40 maxMarginalStrength true false 2 1 1800 2750 3250 -400 -300 2 2 true,C1CC(CTOC(CC#CC#CC#CCOC#C)CTC2TTOCC2)TC1,54,10,76657,3080,-303
40 maxMarginalStrength true false 2 1 1800 2750 3250 -200 -100 1 2 true,CTCC(C(=C=CTTC=CC#CC#CCTCOC=C=CC)TCC1)C1,40,0,86663,2900,-164
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 2 4 true,BrCTN=[C@H]S(=O)(=O)/C(c1sc2c(TS2)c1)=N\C,24,0,55264,3332,139
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 3 3 true,BrC(R)[N+]C[TH+]Sc1scnc1N(TBr)C2(C3CC3)TS2,4467,2152,861985,4171,-115
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 3 2 true,Br\C(c1c2(TC[C@@]2)ncc1C3TT3)=[C@]\[C@@H],2775,1321,684043,2209,-194
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 -200 -100 1 2 true,C#CC(C(C=C=C=C=CTTCTCTCC1TC=NC1))C______,42,1,91387,2230,-167
40 maxMarginalLDS true false 2 1 1800 0 5000 -400 500 1 4 true,C(CCC1CC(CC(CC(CTCCSCC)COCTCTCTC))TC1)C_,273,20,278891,3541,189
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 1 3 true,X\[N+](c1[nH]ncc1OO[C@@H](C(R))TTCCl)=C/O,436,195,117513,2175,127
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 2 true,XCSc1ocnc1S[C@][TH+]N(OC2[C@]C2)C(=O)TI_,1430,667,318273,3851,-141
40 maxMarginalStrength true false 2 1 1800 1750 2250 100 200 1 2 true,C=CC(C(C=C=C[C@]TTCTOTOC1TC=CC1))C______,91,27,114298,2180,129
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 -400 -300 2 2 true,FTCC(CTOC(C1OC=[C@@]1)=NTTC2TCN=C2)=C___,664,61,1051651,2220,-333
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 1 3 true,c1csc(R)c1OO/N=C(OO([TH+]\C=N\O))/[C@@H],27,1,24598,2311,-99
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 1 2 true,RTSTc1nnc(S([N+][TH+][C@]C=CC#CCC#CCl))o1,253,104,136115,2857,-183
40 maxMarginalLDS true false 2 1 1800 1750 2250 -400 -300 1 4 true,C(C(C(C(C=C=C=C)C#CC=NC)TTC1TTTC1))C____,45,2,140075,2110,-301
40 maxMarginal true false 2 1 1800 1750 2250 -400 -300 1 4 true,C(C(C(C(C=C=C=C)C#CC=NC)TTC1TTTC1))C____,52,7,100066,2110,-301
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 1 3 true,C#CTCO[C@@H][N+](=T)C(Br)([C@H]T1)[C@]1OX,188,81,56668,2169,119
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 1 4 true,[TH+]STCSN(c1oc(R)nc1Cl)TCTC([C@](=C)F)CCl,2810,1337,952995,3162,-319
40 maxMarginal true false 2 1 1800 1750 2250 -200 -100 2 4 true,C1CC(C(C2CC(CC(COC=N[TH+]CTT))TC2))TC1__,117,42,130700,2220,-130
40 maxMarginalLDS true false 2 1 1800 1750 2250 -200 -100 2 4 true,C1CC(C(C(CC(CC2TTTC2)TC[C@]C)=C=C))TC1__,155,15,236585,2160,-117
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 1 3 true,Br/[N+](OCC\C=N/[C@H]([C@H]S(C1SS1)))=N/O,280,113,89077,3312,3
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 1 2 true,S=N[N+]C[TH+]TOSSS[C@]1(C([C@]F)C1)CCC#N,63,18,89812,3134,-106
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 2 true,[N+]1(CO1)=Cc2cn([TH+])cc2OOOOOS[C@@H]CI,53,13,32660,3870,-150
40 maxMarginalStrengthLDS true false 2 1 1800 3750 4250 100 200 1 3 true,C1CC(C(OCTCCTCTC(CCOCC)CCOCCCCCCCTF))CC1,167,14,156046,4000,149
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 1 2 true,Rc1onnc1[C@@]=NC#C[C@@](X)(T)C[N+]=NC=NF,81,26,34073,2210,-105
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 3 4 true,ClSTc1[nH]c2c(SOS(=O)(=O)SSC2(C3CC3))c1CC,4488,2163,1038345,3830,192
40 maxMarginalLDS true false 2 1 1800 3750 4250 -200 -100 3 3 true,C1CC(CC(COC#CSC2OC(COC3OOSTTC3)OCC2))CC1,76,6,226436,3882,-123
40 maxMarginal true false 2 1 1800 3750 4250 -200 -100 3 3 true,C1CC(CC(CTCOCC2TCTC(SC#CN3CSCCC3)C2))SC1,272,117,169078,3833,-100
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 2 4 true,R\C=[C@](N=[TH+]ON=C1(C(ON2(OBr))C2O1))\T,301,125,99381,2489,-295
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 3 3 true,FOCc1nc([TH+](R)N2([C@]=COc3ncsc3I))c2o1,1079,493,327261,3800,-123
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 3 3 true,c1nnc2([C@@]OTOS2(=O)(=O))c1Cc3cscc3C=CX,1063,486,298310,2912,111
40 maxMarginalStrength true false 2 1 1800 3750 4250 100 200 1 4 true,C1CC(C(CC(CCTCOCCTC)CC)CCOC(CCCCCTC))CC1,947,454,171354,3800,184
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 1 2 true,Tc1[nH]nc(T\[N+]=C(OCCOSC#[TH+])/[C@])n1,1039,480,346987,2111,-381
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 2 3 true,[N+]c1nsnc1TO/C(Br)=[C@](N2C(C=C)=CTO2)\O,2787,1322,650974,3180,111
40 maxMarginalStrength true false 2 1 1800 2750 3250 100 200 3 2 true,FSC1CC(C2TC(C=CC=CCOCC=CC3TTCTC3)CC2)TC1,40,0,109683,3201,119
40 maxMarginalStrengthLDS true false 2 1 1800 0 5000 -400 500 2 3 true,C1CC(CC(C(CCCCCOCTCCCCSC2TCTC2)CTCI))TC1,247,19,217925,4780,250
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 2 4 true,X/[TH+]=C(c1snc(F)c1c2noc(N=T)c2N(Br)Br)\C,284,117,85065,3809,116
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 2 2 true,c1n([O-])c2c(CSSSTO2)c1TCTC=[TH+]C[C@@]Cl,3419,1638,654714,2938,-304
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 3 3 true,ROc1onnc1N(SC2(C3TT3)(TC))[C@@]2C[C@@H]_,1132,523,446811,2111,-135
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 1 2 true,c1ocnc1TOO[TH+]CC[C@][C@](=C(CI)Cl)OTN=CX,703,318,164816,3854,-313
40 maxMarginalLDS true false 2 1 1800 3750 4250 100 200 3 3 true,C1CC(CC(C(CTCCTCOCC2CCCC2)TOC3SCSC3))CC1,50,3,148164,3842,174
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 2 3 true,ClC/[TH+]=C(c1nccn2c1cnc2N(=CTT(T)))/[C@],1044,479,589412,2185,-348
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 1 3 true,BrTc1occ(X)c1[C@@]N=NCC(I)O[C@](=T)[C@H]Cl,290,119,92132,4173,140
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 2 2 true,c1[nH]c([O-])cc1Oc2scnc2[TH+]([C@]=T)TSX,1740,821,788804,2242,-116
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 1 3 true,S1COTOT[N+](OF)(C#CC(=CBr)COX)[N+]1______,1047,479,411076,3010,-100
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 -400 -300 3 3 true,FOC1CC(C2TCTC2(N(C=COC=CTT)C3OTCOC3))CC1,298,21,273637,2970,-306
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 1 2 true,S1CN=C[C@][N+](OTSTTSC#C[C@](=C=CI))=CO1,885,408,217489,3972,-300
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 1 3 true,FN(R)c1scnc1N(SCC[C@](=C)C=CTBr)[C@@H]SOX,641,282,141941,3842,135
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 2 2 true,TN(CT[C@@](T[C@H]=NSS1)=C1[C@@]2)[N+]2SF,43,8,37099,2223,-151
40 maxMarginal true false 2 1 1800 3750 4250 100 200 2 3 true,C1CC(CC2CCOCC2(C(COCOC)CTCCCTCCCOCX))OC1,41,0,96535,3840,152
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 1 2 true,O(CX)C[C@@H]([N+])STc1nn[nH]c1[C@@]#CTCC,29,0,36939,2241,-128
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 2 3 true,c1oc2c(ON=NTON2)c1TN=NC[C@@](Cl)(C#CC#C)F,2787,1324,643047,2955,192
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 1 3 true,N1TN=[C@](COCN([C@@](=CI)Cl)COC=NCl)TC=NT1,1750,815,395988,4039,-302
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 2 4 true,O(N1TN1)N=NSc2cn[nH]c2[C@](I)(CCCC(C)Cl)R,4333,2085,700333,4135,122
40 maxMarginalStrength true false 2 1 1800 1750 2250 -400 -300 3 3 true,N#CC(C1TC(C2TC=NC2)C(C#CC3TTTOC3)=C1)C__,166,66,151317,2240,-306
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 2 4 true,Br[C@H]CS(=O)(=O)SN(c1c[nH]c(C2TT2)n1)C#N,1734,813,386294,3161,-131
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 3 2 true,c1n[nH]cc1[N+]=C=C(TN2CT2)c3c(Cl)scc3C=NCl,35,4,34159,3101,121
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 2 2 true,O(I)T[TH+]Tc1oncc1c2n([TH+]F)cnc2[C@@]#N,542,248,154423,3189,-328
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 3 2 true,I/C=C(c1snc(X)c1c2[nH]ncc2S[TH+]3TOC3)\O,2868,1369,984430,3771,-111
40 maxMarginalLDS true false 2 1 1800 2750 3250 100 200 2 2 true,C1CC(CC#CC(CC#CTC=C=C)CCCSCTC2CTCTC2)TC1,41,0,129620,3241,136
40 maxMarginal true false 2 1 1800 1750 2250 -200 -100 1 3 true,C(C(C(C=COC=C=C=C=C)=C=CTC1TTTTC1))C____,41,0,113809,2100,-164
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 1 2 true,XCC#[C@@]S[C@](=CC1C(Cl)C1)[TH+]=NSSSSOSF,3200,1529,718645,3791,-315
40 maxMarginalLDS true false 2 1 1800 1750 2250 -200 -100 1 3 true,C(C(C(C=COC=C=C=C=C)=C=CTC1TTTTC1))C____,41,0,101455,2100,-164
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 1 4 true,T/[N+]=[C@](c1snc(O(C(I)))c1OSSO[TH+])/C,345,151,126927,3782,-175
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 1 2 true,[C@H]=[TH+]N=C=C=NSC(=CC)CC([C@H]TC1)N1X,412,182,141078,2061,100
40 maxMarginalLDS true false 2 1 1800 1750 2250 -400 -300 2 3 true,C(CC1CTC1(C2C(TC#CTCOC[C@@H])OTTC2))C___,535,32,1072533,2200,-320
40 maxMarginal true false 2 1 1800 1750 2250 -400 -300 2 3 true,C1CC(C(C#CC(CC#C[C@H])=NCTC2TTTC2))TC1__,582,271,214242,2110,-316
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 1 2 true,O=CN(R)N=Cc1c[nH]nc1C[N+]SSC#[C@]C(F)=NI,31,3,48665,4241,-103
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 1 3 true,ClTSN1TC[C@@](TN=C([C@@H](=C=C))CF)=NSST1,261,104,99255,2818,-136
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 3 true,N1N(Br)C(SCCCBr)([N+]=NC[TH+]2)N2OT[C@@]N1,35,3,33996,3759,-113
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 2 3 true,C(CN1(c2csnc2C(CC)O\[C@@]=[C@@H]/O))N1OCl,64,18,61849,2896,105
40 maxMarginalStrength true false 2 1 1800 3750 4250 100 200 2 3 true,C1CC(C(CC(CCTCCTCC)CCOCCTCCOC2CCCC2))CC1,54,7,106575,3780,180
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 3 4 true,Rc1c[nH]cc1Cc2c(F)c3c([C@](T(C))[N+]3)o2,634,277,220065,2040,141
40 maxMarginalStrengthLDS true false 2 1 1800 3750 4250 100 200 2 4 true,C1CC(C(SCCCCTCCCCCTCTCC2TN(C(Cl))CC2))SC1,309,22,242018,3897,116
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 2 4 true,BrN=[N+]Sc1nncn2c1cc(CSSN(=C=CC(F)(C)))n2,45,7,39331,4202,175
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 2 4 true,Xc1sccc1S(=O)(=O)C2(TN=[C@]2)CO\C(F)=N/S,38,7,39221,2883,-105
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 2 2 true,TC(F)c1nnsc1[N+]c2ccc(CCCC)n2O\N=[TH+]/S,565,251,284672,3142,103
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 3 2 true,N#Cc1[nH]ncc1N2N(c3c([C@]I)ccn3TOCTC)TC2,365,155,140324,3799,-122
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 1 3 true,O1TOS(=O)(=O)CN=C(TTC[C@@]CC=[TH+]C#C)C1,215,97,37723,2241,-359
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 3 true,Ic1[nH]c(X)nc1[TH+](Br)c2sncc2N(X)[N+]C#N,1053,477,236994,4099,-102
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 3 4 true,N1ON(T)C(CN2(c3oc(F)nc3X))=C2[C@@H]OCT1_,103,38,63523,2260,-14
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 2 4 true,TN=Cc1c[nH]c(R)c1C(C(X)(Br))=CTTc2cnncn2_,1863,871,454352,2889,-100
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 3 2 true,ICTc1[nH]cnc1c2oc3c(C[TH+]N=CN(T)N3)c2CCl,51,14,41810,3894,-131
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 1 3 true,C([TH+]/[C@H]=[C@]\N(CT(SSTN1OC1)))#[C@],568,255,221697,1872,-307
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 1 4 true,TS[TH+]=CSOSOC=Nc1occ([TH+](C(Cl))(F))c1Br,1845,865,324540,3807,-137
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 100 200 2 2 true,C1CC(C=CC(C=[C@@]=T)TTOTTOC2CCC=C2)=C1__,132,9,255049,2140,143
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 2 2 true,X/C=[N+](SCN1[C@H]TTSN1([N+]2[C@]CO2))\C,2772,1320,887734,2202,-194
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 1 3 true,[TH+]TN(TCCCC#CCC(Cl)=C(CSOC)F)CSc1csnc1X,184,75,42290,3798,182
40 maxMarginalLDS true false 2 1 1800 0 5000 -400 500 2 3 true,FCC1CC(C(CC(CCOCCSCTCTCTCBr)CC2TCCTC2))C1,64,5,235024,4350,98
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 1 2 true,RTTN(F)c1nncnc1S[N+][C@@][C@H]C(=C)[TH3+],27,0,29570,2151,-95
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 1 3 true,c1csnc1TT[TH+]=C(C(#C(Cl)))STS/N=[C@@H]\S,66,20,33428,2779,-102
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 4 true,ClC#[N+]C[N+]([C@]C1(C2TN2(C=NBr))(I))=C1R,33,3,45399,3873,-185
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 2 2 true,RN=NN(C(C1TS1)T[C@@H]S2)[C@H]2[C@]C=NC=T,713,324,276468,2122,111
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 3 3 true,Rc1scnc1TCC(C2(CC2)Cl)(TTO3)N3[TH+]/C=C/S,1833,863,646400,2737,74
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 2 3 true,ClTSSON=[N+]c1c[nH]c(ON=[C@]C2(CC2)(I))n1,1044,479,283035,4176,149
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 1 2 true,C#[C@@]TSSSN(T[TH+]1([C@H]=[C@@]C#N))N1F,3569,1722,785006,2183,-193
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 2 3 true,c1conc1c2[nH]nnc2[TH+]\[C@](T)=C(O(Br))\S,44,11,37546,2870,-182
