params,molecule,choice,fails,time,weight,logp
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -200 -100 1 2 true,RTTTT[C@@]#[N+]COC1(SN(F)F)[N+]=C[C@@H]1,24,0,57664,1931,-137
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -400 -300 2 2 true,T1[TH+]C=[TH+]TTC(N2SOCC(CC=C)O2)[C@@H]1,78,7,358364,1851,-340
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 100 200 1 3 true,RTTTT[C@@]#[C@]SCSc1c(N(SF)Br)ccc(SC=C)c1,24,1,77313,3803,193
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 0 5000 -400 500 2 3 true,C1(TT1)([TH+]C#[C@]([C@@H]))[C@H]2C=CTT2,296,72,760755,890,-219
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -400 -300 3 3 true,Tc1c2(T[TH+]C=[C@](Cl)C(Cl)SS2)nnc1TN3OCC3,52,7,246095,2942,-319
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 100 200 2 4 true,Tc1[nH]cc([N+](CBr)O(Cl))c1C2[N+](=S)CSSS2,64,8,219773,3918,105
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -200 -100 3 4 true,T1C2([TH+]=[TH+]2)[N+](c3sc(Cl)c(F)c3F)T1,46,5,238483,1786,-176
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -200 -100 1 2 true,RTTTT[C@]C#[C@]SOS[C@]1C(C(SSCl)F)[C@@H]1,31,3,76542,2889,-106
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 100 200 2 4 true,Tc1[nH]c([TH+]F)c(Br)c1C(F)CSN2N(Cl)[N+]T2,87,12,357698,3185,105
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 0 5000 -400 500 3 2 true,c1cccn1c2[nH]c(TX)c(T/C=C\C)c2C3[C@@H]T3,79,20,431502,1940,249
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -400 -300 3 3 true,T1C2([TH+]=[TH+]2)[N+](c3sc(Cl)nn3)N=COT1,41,5,235668,1876,-315
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 100 200 1 3 true,RTTTT[C@@]#[N+]C(Br)(F)SCSC1(CCl)[N+][C@]1,82,9,177924,3056,101
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -400 -300 1 3 true,RT[TH+]C#[C@]CCN(Cl)C1C(=O)N(SCSSCl)[TH+]1,147,13,446285,3033,-326
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -200 -100 2 3 true,Tc1[nH]cc(R)c1[TH+]C#CSOSOOC2C(C=O)(F)C2,59,11,250859,2872,-155
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -200 -100 1 4 true,RTTTT[C@@]#C[N+](Cl)(Cl)N(F)CN1N(Br)[C@@H]1,55,6,115362,2769,-128
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 100 200 2 2 true,C1(TTT1)(TT[C@]SCl)CCCCCCCC2=COOSS[C@@H]2,184,26,717654,3248,165
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -200 -100 3 2 true,TN1C2(TT2)T[TH+]C=C(c3occc3Cl)[N+][C@@H]1,24,2,102440,1825,-174
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 100 200 3 3 true,Tc1c2([TH+]SSC(c3sccc3SF)S2)ccc1C(C=S)=S,90,14,325355,3927,179
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 100 200 2 2 true,Tc1[nH]cc([N+]CC#CST/C=C/S)c1C2(CCl)CSSS2,92,16,222546,3790,104
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -400 -300 1 3 true,[TH3+]C#[C@@]T[N+](=COF)SC1(C)C(=S)[TH+]1,276,31,707763,1902,-314
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -200 -100 2 3 true,T1[TH+]N=[TH+]TTC(N(Cl)CF)(CC2SS2)[C@@H]1,80,8,274063,2127,-184
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 100 200 3 3 true,Tc1c2([TH+]=[C@](F)C(Cl)SSC2)ccc1c3ccccc3,60,8,317718,2947,150
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -200 -100 3 2 true,Tc1c2([TH+]=[C@](F)SSSC[C@]2)ncc1c3nonc3,71,10,335119,2853,-103
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 0 5000 -400 500 1 2 true,[TH3+]C#[C@@][TH+]C#[C@]C1(CBr)SC(R)[TH+]1,210,19,726469,2020,-351
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 100 200 3 2 true,Tc1c2([TH+]SSSSCS2)c(Cl)cc1c3sncc3[C@@]=S,63,9,255369,3982,130
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -200 -100 3 3 true,T1C2([TH+]=[TH+]2)[N+](c3sc(Cl)cc3SN=T)T1,50,5,314040,1877,-111
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 100 200 2 3 true,TC1C=[TH+]TT[N+](=[C@]Cl)C(Br)(c2ccsc2Cl)T1,118,14,414810,2970,111
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -400 -300 3 4 true,TC1C2(TT2)T[TH+]C=[C@]C3(N=NN(C)N3(F))S1,105,14,407743,1851,-358
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 -200 -100 1 3 true,[TH+]C#[C@]C(C)c1c(COOC(SCCl)=NCSN=S)cns1,239,28,777971,3809,-104
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -200 -100 2 2 true,C1(TT1)(T[C@@]Br)C[C@@]S[C@@]2STCSS[TH+]2,166,20,604236,2883,-199
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -400 -300 1 2 true,[TH3+]C#[C@]C1[C@](OSC(T)OSSCOCOCF)[TH+]1,210,16,660915,2863,-395
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 100 200 1 4 true,RTTTT[C@@]#C[C@](Cl)(Cl)N(F)SC1C(Br)[C@@H]1,54,6,105817,2910,153
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -200 -100 3 3 true,Tc1c2(TT2)c(R)c([C@]OBr)c1OS[C@@]3COC=NO3,28,2,172780,3030,-106
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 100 200 1 4 true,RTTTT[C@@]#[C@]SCSc1c(N(SF)Br)c(F)c(CCl)s1,21,0,91230,3948,184
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 100 200 1 2 true,RTTTT[N+](=[N+]S[C@](SC))[C@]1N=C[C@@H]1,62,7,134840,1752,103
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 100 200 3 2 true,Tc1c2(TT2)c(R)cc1SSS[N+]S[C@]=CC3=CCCCN3,31,2,104730,3124,200
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 0 5000 -400 500 2 4 true,C1(TTT1)([TH+]=C(OS([C@@H])))[C@@]2C=CT2,76,17,335714,1251,-59
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -200 -100 2 2 true,T1[TH+]N=[TH+]TTC(N(SOC)c2ccccn2)[C@@H]1,70,6,359072,1951,-130
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -400 -300 1 2 true,RTTTT[C@](=[C@]S[N+](SCl))[N+]1C=N[C@@H]1,70,9,118332,1957,-387
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 100 200 2 3 true,Tc1[nH]cc([N+](CBr)OR)c1C2CC[N+](=S)CSSS2,68,8,282385,3853,153
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 -200 -100 3 3 true,Tc1c2([N+](SCl)(c3scnc3Br)C=NC2)nnc1[N+]=S,105,16,395554,3947,-107
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 100 200 2 3 true,T1TTTT[N+](=[C@]=NF)C(F)(SOC2CC2)[C@@H]1,176,18,637311,1911,113
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -200 -100 2 4 true,TC1=[TH+]T[TH+]C2([N+](=O)C(O(F))S2)SCT1,262,30,689582,1802,-181
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -400 -300 3 2 true,Tc1c2(T[TH+]C=[C@]SS2)c(SCl)nc1C[N+]3COT3,87,12,391315,2778,-390
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 0 5000 -400 500 2 2 true,C1(TT1)(T/[N+]=[C@]/[C@])C[N+]2OS[TH+]T2,54,13,239850,1311,-381
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 3750 4250 100 200 1 2 true,RTTTT[C@@]#[C@]SCSc1c(N(SF)CCC=C=CBr)csc1,26,0,71663,3943,188
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -400 -300 2 3 true,T1[TH+]C=[TH+]TTC(N2SOCC(C)(C)S2)[C@@H]1,64,5,215956,1892,-332
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -200 -100 1 3 true,RTTTT[C@]C#[C@@][N+](F)(S(F))N1OC[C@@H]1,69,8,119522,1791,-109
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -200 -100 2 4 true,Tc1[nH]c(R)c([TH+]C#CSCSN(F)C(Cl))c1C2OT2,56,9,237571,2767,-152
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 100 200 1 2 true,RTTTT[N+]C#[C@]SCS[C@]1(SC(Cl)Cl)OC[C@@H]1,51,5,151518,2893,142
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 1750 2250 -400 -300 3 2 true,T1C2([TH+]=[TH+]2)[N+](c3nsnc3Cl)CO[N+]T1,43,5,187844,1906,-326
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 0 5000 -400 500 3 3 true,c1cccn1c2[nH]c(TX)c(T(T[O-]))c2C3=[C@]T3,77,20,370290,1680,25
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -400 -300 2 3 true,Tc1[nH]c(T)c([O-])c1SSOCC(=[TH+]Br)C2=NT2,62,9,299628,2911,-369
40 maxMarginalStrengthLDS-noGrammarBP true false 2 1 1800 2750 3250 -200 -100 1 3 true,RTTTT[C@@]#[C@]C(Br)(F)SCN1C(OCl)[N+][N+]1,84,9,251336,2905,-104
