|                             |    maxMarginalStrengthLDS   |
|  wtMn wtMx logMn logMx c b  |  choice     fail      time  |
|     0 5000 -400 500 1 2     |   210        19     726.469 |
|     0 5000 -400 500 2 2     |    54        13     239.850 |
|     0 5000 -400 500 2 3     |   296        72     760.755 |
|     0 5000 -400 500 2 4     |    76        17     335.714 |
|     0 5000 -400 500 3 2     |    79        20     431.502 |
|     0 5000 -400 500 3 3     |    77        20     370.290 |
|   1750 2250 -200 -100 1 2   |    24        0       57.664 |
|   1750 2250 -200 -100 1 3   |    69        8      119.522 |
|   1750 2250 -200 -100 2 2   |    70        6      359.072 |
|   1750 2250 -200 -100 2 3   |    80        8      274.063 |
|   1750 2250 -200 -100 2 4   |   262        30     689.582 |
|   1750 2250 -200 -100 3 2   |    24        2      102.440 |
|   1750 2250 -200 -100 3 3   |    50        5      314.040 |
|   1750 2250 -200 -100 3 4   |    46        5      238.483 |
|   1750 2250 -400 -300 1 2   |    70        9      118.332 |
|   1750 2250 -400 -300 1 3   |   276        31     707.763 |
|   1750 2250 -400 -300 2 2   |    78        7      358.364 |
|   1750 2250 -400 -300 2 3   |    64        5      215.956 |
|   1750 2250 -400 -300 3 2   |    43        5      187.844 |
|   1750 2250 -400 -300 3 3   |    41        5      235.668 |
|   1750 2250 -400 -300 3 4   |   105        14     407.743 |
|    1750 2250 100 200 1 2    |    62        7      134.840 |
|    1750 2250 100 200 2 3    |   176        18     637.311 |
|   2750 3250 -200 -100 1 2   |    31        3       76.542 |
|   2750 3250 -200 -100 1 3   |    84        9      251.336 |
|   2750 3250 -200 -100 1 4   |    55        6      115.362 |
|   2750 3250 -200 -100 2 2   |   166        20     604.236 |
|   2750 3250 -200 -100 2 3   |    59        11     250.859 |
|   2750 3250 -200 -100 2 4   |    56        9      237.571 |
|   2750 3250 -200 -100 3 2   |    71        10     335.119 |
|   2750 3250 -200 -100 3 3   |    28        2      172.780 |
|   2750 3250 -400 -300 1 2   |   210        16     660.915 |
|   2750 3250 -400 -300 1 3   |   147        13     446.285 |
|   2750 3250 -400 -300 2 3   |    62        9      299.628 |
|   2750 3250 -400 -300 3 2   |    87        12     391.315 |
|   2750 3250 -400 -300 3 3   |    52        7      246.095 |
|    2750 3250 100 200 1 2    |    51        5      151.518 |
|    2750 3250 100 200 1 3    |    82        9      177.924 |
|    2750 3250 100 200 1 4    |    54        6      105.817 |
|    2750 3250 100 200 2 2    |   184        26     717.654 |
|    2750 3250 100 200 2 3    |   118        14     414.810 |
|    2750 3250 100 200 2 4    |    87        12     357.698 |
|    2750 3250 100 200 3 2    |    31        2      104.730 |
|    2750 3250 100 200 3 3    |    60        8      317.718 |
|   3750 4250 -200 -100 1 3   |   239        28     777.971 |
|   3750 4250 -200 -100 3 3   |   105        16     395.554 |
|    3750 4250 100 200 1 2    |    26        0       71.663 |
|    3750 4250 100 200 1 3    |    24        1       77.313 |
|    3750 4250 100 200 1 4    |    21        0       91.230 |
|    3750 4250 100 200 2 2    |    92        16     222.546 |
|    3750 4250 100 200 2 3    |    68        8      282.385 |
|    3750 4250 100 200 2 4    |    64        8      219.773 |
|    3750 4250 100 200 3 2    |    63        9      255.369 |
|    3750 4250 100 200 3 3    |    90        14     325.355 |
