params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"T=[TH+]N=[C@H]c1nsnc1S[C@]#C[C@@](=CI)TBr",,#fail: 17,execution time (ms): 67062
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"RN(O/N=[TH+]\T)c1[nH]nc(F)c1c2cc(OI)cn2Br",,#fail: 23,execution time (ms): 60361
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"S=CN(N1SON=NSCN1(OBr))[C@H]=CC([C@](=C))Cl",,#fail: 80,execution time (ms): 98435
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"BrTS(=O)(=O)TBr___________________________",,#fail: 262,execution time (ms): 496441
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"Cl\C=[N+](O\[C@]=N/N(TO\C=[C@@]\C(TT)))/O",,#fail: 2,execution time (ms): 88505
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"Br/N=C(Tc1csnc1T\[C@@](X)=[TH+]/T)/[C@@H]",,#fail: 317,execution time (ms): 786424
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"TT/C(SN=[TH+](SOTS\C=C\[C@](=C=CBr)))=C/T",,#fail: 10,execution time (ms): 85040
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"R\[C@@H]=C(N1OC=NN1(O[N+][C@H](=NTC)))\S",,#fail: 106,execution time (ms): 199556
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"R[TH+]1C=C(I)CTSC2(N=[C@](CCCCBr)S2)[N+]1",,#fail: 256,execution time (ms): 251967
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"N#[N+]Cc1oc(F)c(X)c1[TH+]/[C@](TCCC)=C/T",,#fail: 481,execution time (ms): 1072114
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"Ic1onnc1N2S[N+]TC3([TH+]=[C@@H]3)[TH+]O2",,#fail: 148,execution time (ms): 210274
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"ClN(X)S[C@@]T[C@](=C)COC[C@@H]TTOTc1cccs1",,#fail: 74,execution time (ms): 72593
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"T[C@]C#[N+]TT\C=C(CN1CSSS[C@]1(SCCCC))\C",,#fail: 2,execution time (ms): 63343
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"Br\N=[C@@](OTTO(c1cnc2(N([TH+])T2)c1Br))\T",,#fail: 6,execution time (ms): 105099
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"CC#CS[N+]1(SS[N+]N=[TH+]N=N1)TC(I)=C(Cl)F",,#fail: 4,execution time (ms): 54815
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"FN(F)\[C@](S/C(Cl)=[TH+]\N(CTTBr))=C/[C@@]",,#fail: 4,execution time (ms): 88977
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"XOOTC[C@@H][N+]N(I)N(c1oc(X)nc1CCCC)C#CF",,#fail: 6,execution time (ms): 74498
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"O(F)\C=[C@@](c1[nH]c2c(N=NOTT2)c1I)/[C@]",,#fail: 105,execution time (ms): 212975
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"[TH+]OS(=O)(=O)SN=C(X)SCCC[C@](=C=CI)C#N",,#fail: 16,execution time (ms): 43225
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"N#C[TH+]Sc1[nH]cc(N=S(=O)(=O))c1T[TH+]C_",,#fail: 14,execution time (ms): 65311
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"TTC(R)/[C@]([TH+]c1nc2(SS2)nc1)=[C@@H]\C",,#fail: 253,execution time (ms): 246968
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"N1TT[TH+]=CN=C(Sc2nnn(F)c2[C@](=C))O1___",,#fail: 104,execution time (ms): 199430
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"O1O[N+]2(S[C@H]T[C@H]TTC2)OCN(I)T1______",,#fail: 227,execution time (ms): 213582
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"[TH+]/C=C(N(Br)OSOc1oncc1T[C@@](=C)TCX)/C",,#fail: 8,execution time (ms): 66166
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"Br/[N+]=C([TH+]OCOS[TH+]\[C@H]=N/N(Cl))/S_",,#fail: 106,execution time (ms): 130428
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"N(F)=NT[C@H]/[C@@H]=[C@@]([C@H](CCCC))\S",,#fail: 3,execution time (ms): 53940
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"BrN(ON=S(=O)(=O))[O-]____________________",,#fail: 0,execution time (ms): 49397
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"F/[TH+]=C(N1[TH+]CT[N+][N+](=T)C1(Br))\S_",,#fail: 110,execution time (ms): 267348
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"F/N=[C@@](ST[TH+]OCO/[N+]=N\N([C@H]F))\T",,#fail: 254,execution time (ms): 331058
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"Ic1c[nH]nc1N=NSO/[C@@H]=[N+](CTCOCCX)/C_",,#fail: 59,execution time (ms): 72716
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"O(N1[N+]N=[C@]CC2(OSO2)[TH+]O1)S[C@H]CCI",,#fail: 107,execution time (ms): 168361
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"N1SO[TH+](Cl)[N+]T[TH+](TS([C@@H]C=CF))O1",,#fail: 0,execution time (ms): 58523
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"R[TH+](X)OTS/N=[N+](TS\C(F)=[C@]\C)/[C@]",,#fail: 112,execution time (ms): 260131
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"TN1S[TH+]=[TH+]TS[N+]2(SC(C(I))=[C@]2)O1",,#fail: 109,execution time (ms): 110771
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"[C@H]c1oc(TR)cc1O[TH+]OOCTC(N=C2(I))=C2R",,#fail: 13,execution time (ms): 70026
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"ISN(OSF)\N=[C@@](O(T/N=N/[C@](CC(Cl))))\T",,#fail: 116,execution time (ms): 172639
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"T[C@H]/[N+]=C(T[TH+][C@H](CCCCCBr)SC=C)\C",,#fail: 24,execution time (ms): 66726
