params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"T=[TH+]N=[C@H]c1nsnc1S[C@]#C[C@@](=CI)TBr",0,17,67062
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"RN(O/N=[TH+]\T)c1[nH]nc(F)c1c2cc(OI)cn2Br",0,23,60361
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"S=CN(N1SON=NSCN1(OBr))[C@H]=CC([C@](=C))Cl",0,80,98435
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"BrTS(=O)(=O)TBr___________________________",0,262,496441
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"Cl\C=[N+](O\[C@]=N/N(TO\C=[C@@]\C(TT)))/O",0,2,88505
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"Br/N=C(Tc1csnc1T\[C@@](X)=[TH+]/T)/[C@@H]",0,317,786424
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"TT/C(SN=[TH+](SOTS\C=C\[C@](=C=CBr)))=C/T",0,10,85040
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"R\[C@@H]=C(N1OC=NN1(O[N+][C@H](=NTC)))\S",0,106,199556
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"R[TH+]1C=C(I)CTSC2(N=[C@](CCCCBr)S2)[N+]1",0,256,251967
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"N#[N+]Cc1oc(F)c(X)c1[TH+]/[C@](TCCC)=C/T",0,481,1072114
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"Ic1onnc1N2S[N+]TC3([TH+]=[C@@H]3)[TH+]O2",0,148,210274
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"ClN(X)S[C@@]T[C@](=C)COC[C@@H]TTOTc1cccs1",0,74,72593
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"T[C@]C#[N+]TT\C=C(CN1CSSS[C@]1(SCCCC))\C",0,2,63343
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"Br\N=[C@@](OTTO(c1cnc2(N([TH+])T2)c1Br))\T",0,6,105099
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"CC#CS[N+]1(SS[N+]N=[TH+]N=N1)TC(I)=C(Cl)F",0,4,54815
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"FN(F)\[C@](S/C(Cl)=[TH+]\N(CTTBr))=C/[C@@]",0,4,88977
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"XOOTC[C@@H][N+]N(I)N(c1oc(X)nc1CCCC)C#CF",0,6,74498
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"O(F)\C=[C@@](c1[nH]c2c(N=NOTT2)c1I)/[C@]",0,105,212975
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"[TH+]OS(=O)(=O)SN=C(X)SCCC[C@](=C=CI)C#N",0,16,43225
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"N#C[TH+]Sc1[nH]cc(N=S(=O)(=O))c1T[TH+]C_",0,14,65311
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"TTC(R)/[C@]([TH+]c1nc2(SS2)nc1)=[C@@H]\C",0,253,246968
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"N1TT[TH+]=CN=C(Sc2nnn(F)c2[C@](=C))O1___",0,104,199430
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"O1O[N+]2(S[C@H]T[C@H]TTC2)OCN(I)T1______",0,227,213582
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"[TH+]/C=C(N(Br)OSOc1oncc1T[C@@](=C)TCX)/C",0,8,66166
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"Br/[N+]=C([TH+]OCOS[TH+]\[C@H]=N/N(Cl))/S_",0,106,130428
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"N(F)=NT[C@H]/[C@@H]=[C@@]([C@H](CCCC))\S",0,3,53940
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"BrN(ON=S(=O)(=O))[O-]____________________",0,0,49397
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"F/[TH+]=C(N1[TH+]CT[N+][N+](=T)C1(Br))\S_",0,110,267348
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"F/N=[C@@](ST[TH+]OCO/[N+]=N\N([C@H]F))\T",0,254,331058
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"Ic1c[nH]nc1N=NSO/[C@@H]=[N+](CTCOCCX)/C_",0,59,72716
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"O(N1[N+]N=[C@]CC2(OSO2)[TH+]O1)S[C@H]CCI",0,107,168361
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"N1SO[TH+](Cl)[N+]T[TH+](TS([C@@H]C=CF))O1",0,0,58523
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"R[TH+](X)OTS/N=[N+](TS\C(F)=[C@]\C)/[C@]",0,112,260131
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"TN1S[TH+]=[TH+]TS[N+]2(SC(C(I))=[C@]2)O1",0,109,110771
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"[C@H]c1oc(TR)cc1O[TH+]OOCTC(N=C2(I))=C2R",0,13,70026
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"ISN(OSF)\N=[C@@](O(T/N=N/[C@](CC(Cl))))\T",0,116,172639
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"T[C@H]/[N+]=C(T[TH+][C@H](CCCCCBr)SC=C)\C",0,24,66726
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"X\N=[C@](S(c1snnc1T/C(CCl)=[N+]/N(CCl)))\O",0,255,546963
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"X\N=[C@@](OTc1conc1[TH+]c2occc2[TH+]Br)\S",0,105,191783
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"[C@H]S\N=C(S[C@]C#CSTN=CN=NN=CCI)\[C@@H]",0,0,46875
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"C1(CSTSS[N+]2(TC2)C1)(X)c3nc(C[N+]4)c4s3",0,115,149853
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"c1c[nH]cc1N(Cl)\[TH+]=C(c2ncnn2TC[TH+])/C",0,8,45999
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"I/N=[N+]([C@@H]1OC[C@H]CTN1(CCCC))\[N+]_",0,105,209752
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"Cl\[TH+]=[N+](N1TC([C@]Oc2nn[nH]c2)TC1)/S",0,254,403274
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"T1N=C[TH+]N(C[C@@H]2(T[TH+](I)OI))C2COS1",0,1229,677468
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"c1c[nH]cc1N(OX)[N+]TC(C[TH+])(T)[N+]#COCl",0,543,765695
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"FTOC1([C@@]T1)N=NOTTc2n([C@](=CBr)I)ccc2X",0,87,134567
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"T(c1[nH]ncc1)O/[C@H]=C(SOSN=CC(T)CBr)\T__",0,33,53183
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"Br\[C@@]=C(c1c2(SOOSC=N[C@H]2(R))ccc1X)/O",0,4,93254
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"F\C(c1nscc1N2TN(Cl)TCTTC2(=C=CBr))=[N+]/T_",0,20,67417
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"RCC1(TS[TH+]CSCN1(Cl))S[C@]\N=C(CCCCCBr)/T",0,5,57308
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"N#[N+][N+]=C(R)OO[TH+]SC[N+]C(=CCI)[TH3+]",0,255,190035
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"CC#[N+]N=CCTTC=NN=[N+]TOCTC=CC(I)=CCCCCF",0,286,257115
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"Cl\[N+](X)=[C@@](c1c2c([N+]TS2)sc1Br)\[N+]",0,110,141045
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"Br/[TH+]=[C@](c1[nH]c2c(TC(I)CT2)c1OCCl)\S",0,2,40646
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"RO\C=[C@](N=N[N+]T([TH+]S/N=C\C(=CF)))/S",0,7,130920
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"RN1S[C@@H][C@@H]N(N=S)ON(CCBr)[C@H]1_____",0,0,86343
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"N#CO[N+]#Cc1onnc1OC[C@@]OTC#C[C@@](=C)TBr",0,167,146510
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"Cl/N=C(O\C=C(T[C@H](STCX)R)\C(SX))\[C@@H]",0,261,374504
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"S=[C@]c1cnsc1S\C=[N+]/[N+]______________",0,486,640912
