params,molecule,choice,fail,time
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,C(N=COCN1TCC1(OC#CT(C(SOCTSC(F))(Cl))))Br_, 36, 1, 173514
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,[C@H]=NOTOC/[TH+]=[N+](O(CC(I)I))\[C@@H], 50, 14, 141749
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,C(CTOT(TC(N(C)STCCC(OC#C)CC)(F)))N1C=CO1, 38, 0, 140873
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,T\N=[C@@](c1sncc1[TH+](C(SOI)[TH+]TBr))/T, 331, 139, 611637
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,C1(TOTN(TC(X)TCC(N=NC2CCC2))CC)CCC(CC)O1, 37, 0, 178533
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,ClTc1cn[nH]c1S[N+]#CTTCCSTCC(I)(F)[C@H]=O, 291, 121, 401416
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,Tc1n[nH]nc1S/C=[N+]([TH+](C=C=C=S))/[C@], 51, 13, 198750
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,CC(=NSCF)TOC1=C(TOCN2TSC(C=C(C))CC2)CT1_, 38, 1, 191933
40 maxMarginalStrengthLDS true false 2 1 1800 3750 4250 -200 -100 true,C1CC(C(TCTCCOCCOCCOCTCTCCCTCC2CCOC2))CC1, 42, 1, 160363
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 -400 -300 true,C1TC(C(COOC(C(C#COCOCOCCT)))CC2TCTC2)TC1, 39, 0, 287083
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,C1(CCCl)(TTOC)CN(SC2=NC(N3CCSCC3)CC2)CTS1, 32, 0, 177665
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,S(T(CC(C=NTT(C))(TC)C=C))OO[C@](=CSOF)C_, 1969, 972, 661760
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,COC1C(TTS(C(C(C#CC(X)CTOF))))CC(=O)OTCC1, 375, 173, 230649
40 maxMarginalStrength true false 2 1 1800 1750 2250 -200 -100 true,T(C(C1TCC1)C2CTCC2(C(C=C=C(C3TCTC3))))F_, 40, 0, 166135
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,CN(N1SC(OSTT)TC(CT(Cl))=CC1)C[C@](=C=C)TI, 32, 2, 143029
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,C(CN1OCTTCC(=CC(SOCN(TCTBr)C=[C@])F)C1)=S, 57, 13, 177504
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,[O-]\[C@]=C(SC\[TH+]=C/[N+](I)(Cl))/[C@H], 264, 105, 448409
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,[C@][C@]#CN(I)OTC(F)c1ocnc1CSSC#[C@@]C=C, 78, 23, 153374
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,S(T(C(N1CCO1)OC2(CCN(CS(T))T)C[C@]CT2))I, 378, 172, 268131
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,C1(SSC1)=NC#CC#[C@@]c2nsnc2O[TH+]=C(T)CX, 585, 257, 757249
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,Rc1[nH]cnc1S/N=C(T\[C@H]=C\C2(TOC=C2))\O, 276, 114, 299148
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,F/N=[N+]([TH+](Cl)N1TO[N+]N1(TCC(#CI)))\O, 269, 112, 588939
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,IC1(CC(TC(C=NTS(C))C[C@](=C))CC)OOTTOCS1, 2258, 1117, 1115064
40 maxMarginalStrengthLDS true false 2 1 1800 3750 4250 100 200 true,C1CC(C(CCTCCTCCCCCOCTCOCCCTCC2CCCC2))CC1, 40, 0, 141396
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,CCOOSOCOSSCC(CON1CCC1)C[C@](=C)[C@](=C)T, 983, 479, 550878
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,S(X)[C@H]N=Cc1c2c([C@]=CTTCC2(TSBr))nnn1_, 30, 1, 210360
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,Xc1c[nH]nc1Oc2snc(SX)c2N(TF)C[C@H]C=[C@], 147, 60, 252006
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,C#C[TH+]SN=NSS(=O)(=O)Sc1c2(CC2(=C))ccn1, 40, 10, 154837
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,O(c1n[nH]nc1I)\C(TSSS(SC2CCC2))=[C@@H]/T, 28, 2, 160986
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -200 -100 true,C(C(C1SOCT1)(R)CCC2OTO2)(TC([O-])(F))T__, 224, 95, 300289
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,O(R)SS/N=[N+](STT[C@H]=[C@@H]CC=[C@]Br)/S, 287, 120, 560339
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,R[C@@H]TN=NTT[TH+][C@H]c1c2(SC2)cc(I)c1I, 77, 26, 211041
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,T1C(C=CCN(X)TCN(C(OOOTC[C@@](=C))=C)T)C1, 410, 191, 389453
