params,molecule,choice,fail,time
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,TC(SC)=C(OCCC1COC1)C2(OCOX)CTCOC(Br)=CT2_, 35, 1, 35025
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,BrT\[C@H]=[N+](N1N(I)OSN1(N2[C@@]=CO2))\T, 35, 2, 27970
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,CN(T)c1cnoc1C(TC2(OCC(TCl)TO2)C=CCTF)CCC_, 82, 21, 38277
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,[TH3+]/C=C([N+][TH+]c1oc(N=CBr)cc1SI)/[C@], 50, 12, 31976
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,FN(C(TOC(O(C))TOC(OST)=CC(=CF)C))C(C)=O_, 48, 6, 44283
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,Br\C([TH+]=[C@@H]N1TN(N(Br)C)STN1(Br))=N\T_, 31, 1, 27495
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,c1cn[nH]c1I_____________________________, 237, 102, 47383
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,T(CX)SN(C1SCSC1(CC(C2OCC2(=C(C(T)R)))))T, 129, 47, 45758
40 maxMarginalStrengthLDS true false 2 1 1800 3750 4250 -200 -100 true,C1CC(CC(C2OCCOC2)CCTCOOCCTCTCC3COCC3)OC1, 1041, 85, 385067
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 -400 -300 true,C1CC(CC(C2TCOC2)(OCTCTCCC)C)(C3TCTC3)OC1, 2224, 225, 611699
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,FC(CN(CCC(COC1CSSC1(SSCCC))=N2)C2TOC)=O_, 41, 1, 32772
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,X[C@@H]1CN(X)SOTN(N(Cl)[C@@H]2)N2[TH+]1__, 1728, 816, 309063
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,CTTC(C(C=[C@@]SO(F))C1CON1)(CX)TC2CCTOC2, 36, 0, 48239
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,BrC1(SCC2C=NTTN(TC(=CT)CTC)C2)[C@@](C)ON1, 71, 20, 30502
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,N(Br)=[TH+]TC/[C@@](T/C(C1=CTT1)=N\O)=N/O, 41, 7, 36458
40 maxMarginalStrength true false 2 1 1800 1750 2250 -200 -100 true,T(C(COC#C)C(COC(C(C(=O)))))C1CC2(TTT2)T1, 18669, 9315, 523761
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,C(I)(X)/N=C\[C@@H]______________________, 13, 1, 28459
